,Revenue,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,"Property, Plant & Equipment Net",Total assets,Total liabilities,Retained earnings (deficit),Total shareholders equity,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,priceToSalesRatio,returnOnEquity,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Price to Sales Ratio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Invested Capital,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Sector,Class,2015 PRICE VAR [%]
PNM,1435853000.0,711075000.0,171111000.0,344807000.0,366268000.0,185992000.0,116254000.0,115726000.0,1.46,1.45,79653624.0,79653624.0,0.4952,0.359,0.2128,0.081,-0.0319,515486000.0,305619000.0,130909000.0,0.1295,0.081,28274000.0,4273412000.0,5790237000.0,3983616000.0,609456000.0,1721546000.0,209867000.0,414876000.0,-460658000.0,-485329000.0,96194000.0,25741000.0,-45782000.0,1.6437,0.0675,0.2479782779185,5.2085,-0.575,0.355,18.0262,1.4595,5.2085,-0.575,0.355,21.613000000000003,69.199,21.6129,1.6437,0.0493,3.585,0.1192,-2.195,5511940000.0,6847564000.0,0.0675,-5.7833,-0.0059,0.0858,0.0261,Utilities,1,5.913272377141693
AT,489900000.0,166800000.0,37900000.0,266800000.0,-97836600.0,-136172940.0,-142071800.0,-147297760.0,-1.47,-1.47,120806572.0,120700000.0,0.3405,0.265,-0.067,-0.362,0.1053,129800000.0,-32800000.0,-147987600.0,-0.4025,-0.3384,128500000.0,962900000.0,2916000000.0,2099500000.0,-863900000.0,356200000.0,162600000.0,65000000.0,-13400000.0,68700000.0,-182400000.0,-48700000.0,51600000.0,0.6683,-0.4655,0.16800411522633998,0.5385,0.4275,1.0646,4.0588,-1.3737,0.5385,0.4275,1.0646,2.951,19.401,2.9511,0.6683,-0.5424,-0.3664,0.0774,-0.0824,2341700000.0,3339600000.0,-0.4655,-0.111,0.1755,-1.4633,-0.9048,Utilities,0,-24.99326210331853
AVA,1472562000.0,700018000.0,317250000.0,447430000.0,252588000.0,264281000.0,192041000.0,192041000.0,3.12,3.1,62239441.0,61632000.0,0.4754,0.325,0.2309,0.13,-0.0439,478370000.0,340033000.0,192277000.0,0.1795,0.1304,22143000.0,3661978000.0,4700971000.0,3217729000.0,491599000.0,1483671000.0,138337000.0,267268000.0,-331943000.0,-103736000.0,-223963000.0,-60431000.0,-64675000.0,1.4941,0.1294,0.31324634846716,4.3365,-1.0490000000000002,0.3593,23.8928,3.1159,4.3365,-1.0490000000000002,0.3593,24.073,75.334,24.0731,1.4941,0.0883,1.3917,0.2154,-2.3995,4642995000.0,5880687000.0,0.1294,-5.3859,0.0547,0.3785,0.093,Utilities,1,3.8989076656586
AWR,465791000.0,303754000.0,78268000.0,184709000.0,119045000.0,99106000.0,61058000.0,61058000.0,1.57,1.57,38400038.0,38658000.0,0.6521,0.349,0.2592,0.131,0.1949,162474000.0,120723000.0,61058000.0,0.2128,0.1311,75988000.0,1003520000.0,1378298000.0,871497000.0,253602000.0,506801000.0,41751000.0,163270000.0,-72491000.0,-74059000.0,-51449000.0,37762000.0,90779000.0,3.1047,0.1205,0.33794651084163,4.2234,2.3480000000000003,1.9656,12.049,1.5794,4.2234,2.3480000000000003,1.9656,13.11,35.625,13.1099,3.1047,0.0417,2.674,0.168,-1.7363,1377182000.0,1527994000.0,0.1205,-1.8752,-0.0298,-0.0013,-0.0002,Utilities,1,12.447931667065788
KEP,39912360000.0,6725908285.4863,1758556941.6433,1660414498.2075,4701239999.999997,3864896503.3853,2557799736.2666,2557799736.2666,1.9602,1.9602,930472.48,600368.1084259999,0.1288,0.0002,0.129,0.0,-0.0418,6975319999.999995,4984315999.999997,2557799736.2666,0.07400000000000001,0.049,1641525486.4583,19467000000.0,108992449999.99988,73246454407.49065,16864965145.436275,24434214427.899364,1960250000.0000043,5775839999.999995,-2815440000.0,-5588140000.0,1598762540.0,-398444832.1144,-521140520.0000001,0.0002,0.0522,0.34893178805381,37.53620799999999,-22.461712,167.6213619999999,545.976,14.38077399999997,38.533075,-22.6175,167.6213619999999,38.1508,115.9333,345.6795239999999,0.0002,0.1013,4.3036,0.0337,-1.8335,82353249999.99979,85685600000.00005,0.0522,-31.92555,1.2718,1.7967,3.0334,Utilities,1,17.397549255040854
DTE,12301000000.0,3075000000.0,821473.6,1485000000.0,1590000000.0,1269000000.0,905000000.0,905000000.0,5.11,5.1,176991277.0,177000000.0,0.25,0.231,0.138,0.07400000000000001,-0.0166,2843000000.0,1698000000.0,911000000.0,0.1032,0.0736,168000000.0,16820000000.0,27899000000.0,19557000000.0,4578000000.0,8327000000.0,1145000000.0,1845000000.0,-2049000000.0,-2060000000.0,211000000.0,-4000000.0,-204000000.0,1.2427,0.1087,0.44091186064017,10.4237,-1.153,0.9492,69.4972,5.113,10.4237,-1.153,0.9492,47.045,145.644,47.0452,1.2427,0.0592,2.0387,0.0,-1.7895,25779000000.0,32049000000.0,0.1087,-11.5763,0.1701,0.2568,0.3217,Utilities,0,-4.400599983952256
EE,917525000.0,234505000.0,821473.6,83342000.0,151163000.0,132516000.0,91428000.0,91428000.0,2.27,2.27,40357982.0,40190991.0,0.2556,0.28600000000000003,0.1955,0.1,-0.0593,262676000.0,179334000.0,91428000.0,0.1444,0.0996,40504000.0,2488351000.0,3059301000.0,2075047000.0,1032537000.0,984254000.0,83342000.0,243340000.0,-297713000.0,-331192000.0,102764000.0,14912000.0,-54373000.0,1.7621,0.0929,0.29991328084422,6.0546,-1.3530000000000002,1.0078,22.8291,2.2748,6.0546,-1.3530000000000002,1.0078,24.489,76.119,24.4894,1.7621,0.0567,2.6615,0.0,-3.5722,3059301000.0,4007499000.0,0.0929,-7.4075,-0.0439,-0.0034,-0.0874,Utilities,0,-0.8318701268266893
SR,1627200000.0,248800000.0,821473.6,82400000.0,166400000.0,116900000.0,84600000.0,84600000.0,2.36,2.35,43167152.0,35800000.0,0.1529,0.151,0.1002,0.052000000000000005,-0.0297,246400000.0,163100000.0,84600000.0,0.0718,0.052000000000000005,16100000.0,2768900000.0,5074000000.0,3565600000.0,437500000.0,1508400000.0,83300000.0,122600000.0,-171000000.0,-1437600000.0,1278100000.0,-36900000.0,-48400000.0,1.2309,0.0561,0.32069373275521995,3.4246,-1.352,0.4497,45.4525,2.3631,3.4246,-1.352,0.4497,42.13399999999999,115.536,42.1341,1.2309,0.0509,1.4492,0.0,-2.0528,4136200000.0,5472400000.0,0.0561,-4.7765,0.7182,0.6475,0.7244,Utilities,1,15.492731260228641
CPK,498834000.0,108815000.0,821473.6,46536000.0,62279000.0,60037000.0,36092000.0,36092000.0,2.48,2.47,14583221.0,14551308.0,0.2181,0.205,0.1394,0.07200000000000001,-0.0358,102412000.0,69519000.0,36092000.0,0.1204,0.0724,4574000.0,689762000.0,904469000.0,604147000.0,142317000.0,300322000.0,32893000.0,73708000.0,-91588000.0,-81010000.0,8520000.0,1218000.0,-17880000.0,1.4518,0.1202,0.5515213898983801,5.0654,-1.229,0.3143,34.281,2.4803,5.0654,-1.229,0.3143,20.639,61.652,20.6388,1.4518,0.0499,2.0422,0.0,-2.7844,897113000.0,954130000.0,0.1202,-6.2941,0.0826,0.1016,-0.0073,Utilities,1,16.332305440325904
PAM,719457547.1698,20754716.9811,181603773.5849,188325471.6981,-97836600.0,75825471.6981,87617924.5283,87617924.5283,1.6669,1.4982,154989492.3349,154989492.3349,0.0288,0.0429,0.2878,0.0144,-0.0223,262146226.4151,207075471.6981,62500000.0,0.1054,0.1218,39532323.8208,1087040091.3915,1989029877.4764,1569945087.9717,87636716.3915,344387723.2311,55070754.717,258608490.566,-274646226.4151,-291509433.9623,27476415.0943,-5424528.3019,-16037735.8491,2.1586,0.2544,0.36171279039942,37.53620799999999,0.461,54.2691,545.976,14.38077399999997,38.533075,0.461,54.2691,6.5507,35.8772,345.6795239999999,2.1586,0.1664,2.9515,0.2524,-4.9872,1886154394.1038,1633619598.9387,0.2544,-31.92555,1.5041,0.2404,0.0932,Utilities,1,115.86132614417872
FCEL,180293000.0,13726000.0,22797000.0,41037000.0,-27311000.0,-37637000.0,-38125000.0,-41325000.0,-17.596000000000004,-17.740000000000002,1971462.0,1706159.0,0.0761,-0.165,-0.189,-0.229,-0.358,-29692000.0,-34076000.0,-38883000.0,-0.2088,-0.2115,89233000.0,25825000.0,280636000.0,122330000.0,-809314000.0,99987000.0,4384000.0,-57468000.0,-7079000.0,-7079000.0,95941000.0,31134000.0,-64547000.0,3.1807,-0.3813,0.64244430507846,-17.687075999999998,-22.461712,52.3005,105.6719,-22.3455,-17.959899999999998,-22.6175,52.3005,58.604,156.474,58.6036,3.1807,-0.0833,1.3906,0.1264,-1.6147,266969000.0,117481000.0,-0.3813,-4.1491,0.9273,-0.1353,0.0839,Utilities,0,-73.83966273730948
SPH,1938257000.0,391118000.0,64593000.0,200992000.0,190126000.0,95276000.0,94509000.0,94509000.0,1.56,1.56,60312000.0,60481000.0,0.2018,0.162,0.0921,0.049,0.1078,314936000.0,178537000.0,94509000.0,0.0492,0.0488,92639000.0,826826000.0,2609363000.0,1587910000.0,2080435562.4515238,1021453000.0,136399000.0,225551000.0,-16532000.0,-16532000.0,-223612000.0,-14593000.0,209019000.0,1.3903,0.0925,0.7428084938737901,3.7293,3.4559,1.5317,32.0474,1.5626,3.7293,3.4559,1.5317,16.889,19.223,16.8888,1.3903,0.0349,2.3866,0.0333,-0.1212,1162641000.0,2090421000.0,0.0925,-0.2733,0.0508,0.0212,0.0743,Utilities,0,-39.69257670916181
TGS,507543750.0,205004245.283,95618278.3019,95037971.6981,109966273.5849,20018160.3774,12380660.3774,12380660.3774,0.0738,0.0738,214978536.41236082,97296628.066,0.4039,0.0453,0.3249,0.0028,0.1493,194913443.3962,164923938.6792,12380660.3774,0.0394,0.0244,337288683.56382525,7601942825.170816,18893231326.924538,13330700507.53841,2080435562.4515238,4995976648.03594,29989504.717,117110731.1321,-41339504.717,-19877830.1887,-115848231.1321,-18615330.1887,75771226.4151,4.961374967032965,0.05739302197802198,0.34746717359137375,6.251328263736263,-1.118778681318681,8.684453208791204,221.0363,5.3918,38.533075,11.550999999999998,8.684453208791204,23.298234505494506,79.88402404395605,40.791765890109886,0.542,0.0211,9.1763,0.1884,-1.3785,17291713015.135868,20678974118.48585,0.05739252747252747,-18.0034,0.1878775,0.26650139130434786,0.25567897826086966,Utilities,1,77.03488866379551
CDZI,336000.0,0.0,10084000.0,10338000.0,-10359000.0,-18877000.0,-18881000.0,-18881000.0,-1.15,-1.15,16205091.0,16370000.0,0.0,-7.75597,-7.428053,-8.316089999999999,-7.723315000000004,-10105000.0,-10359000.0,-18881000.0,-8.089199999999998,-7.511510000000001,16206000.0,43640000.0,68212000.0,107950000.0,-359519000.0,-39738000.0,254000.0,-10121000.0,-72000.0,-72000.0,14512000.0,4319000.0,-10193000.0,71.08217399999994,0.4751,0.0049258195038996,-0.6183,-0.623,0.99,0.0205,-1.1534,-0.6183,-0.623,0.99,-2.427,3.934,-2.4275,71.50970599999938,-0.1027,0.536,3.4073249999999655,-0.2835,64399000.0,150695000.0,0.4751,-0.0044,0.9173,0.3106,0.2586,Utilities,0,-51.654410169534025
OGS,1818906000.0,826957000.0,420686000.0,549357000.0,277600000.0,233383000.0,109790000.0,109790000.0,2.1,2.07,52053796.0,52364000.0,0.4546,0.223,0.1535,0.06,-0.0277,404947000.0,279225000.0,109790000.0,0.1283,0.0604,11943000.0,3293720000.0,4649210000.0,2855173000.0,39894000.0,1794037000.0,125722000.0,246663000.0,-297103000.0,-297103000.0,59212000.0,8772000.0,-50440000.0,1.1796,0.0612,0.3912290475156,4.7105,-0.963,0.2281,34.7358,2.0967,4.7105,-0.963,0.2281,34.261,85.77,34.2609,1.1796,0.0509,2.2467,0.2313,-2.3632,4491257000.0,5330198000.0,0.0612,-5.6738,0.0172,0.0056,0.0225,Utilities,1,23.014619808474908
AY,362693000.0,353231000.0,1664000.0,179888000.0,173343000.0,-27199000.0,-31612000.0,-31612000.0,-0.032,1.2304989361702128,80000000.0,80000000.0,0.9739,0.8293299999999999,0.5047,-0.087,0.1202,308533000.0,183053000.0,-29265000.0,-0.075,-0.0872,354154000.0,0.0,7963995000.0,6124364000.0,-2031000.0,1751602000.0,125480000.0,43608000.0,0.0,-345168000.0,304441000.0,2881000.0,43608000.0,6.026,-0.018000000000000002,0.045541590621290005,0.4361,0.4361,3.5415,3.6269,-0.3161,0.4361,0.4361,3.5415,17.516,79.64,17.516,6.026,-0.0012,-1.3795,0.0046,0.0,7963995000.0,11230306000.0,-0.018000000000000002,0.0,0.7253,0.6855,0.5534,Utilities,0,-25.75062360783201
NWE,1204863000.0,722272000.0,305886000.0,544254000.0,178018000.0,110414000.0,120686000.0,120686000.0,3.01,2.99,39143732.0,40156000.0,0.5995,0.259,0.1562,0.1,-0.0169,311992000.0,188216000.0,120686000.0,0.0916,0.1002,50024000.0,3758008000.0,4973943000.0,3496160000.0,264758000.0,1477783000.0,123776000.0,250039000.0,-270384000.0,-1206949000.0,960715000.0,3805000.0,-20345000.0,1.8382,0.0817,0.24223498339245006,6.2267,-0.507,1.2457,30.0046,3.0054,6.2267,-0.507,1.2457,36.801,115.022,36.8011,1.8382,0.0532,2.0718,0.2539,-2.1845,4618815000.0,5914040000.0,0.0817,-6.7333,0.0701,0.0528,0.0408,Utilities,0,-1.0829127531632832
EBR,11317238828.389,1999652647.3902,821473.6,3442933533.6087,-97836600.0,-136172940.0,-142071800.0,-147297760.0,-1.7274,-1.7274,408205143.4472,408205143.4472,0.1767,-0.0342,-0.1502,-0.0777,-0.0016,-62411800.0,-91950040.0,-147987600.0,-0.1502,-0.2066,1183102891.4758,11680641381.9001,54253680060.0826,34105971085.2422,-351525347.3526,20031693578.6707,667403680.0601,2258623732.6324,-2277278633.1205,-3994368006.0083,1221943672.5498,-522375466.529576,-18654900.4882,0.0772,-0.1167,0.20859854697148006,14.7352,-4.349,7.7185,73.8333,-15.2533,14.7352,-4.349,7.7185,18.4277,49.4375,130.6861,0.0772,-0.730328,-0.966,0.0,-3.4121,53740960946.3012,60644494930.5295,-0.1167,-14.8569,0.9077,0.1676,0.3666,Utilities,0,-36.44860508792663
JE,3195853526.2206,457080470.1627,277217902.3508,367447558.7703,89632911.3924,166452983.7251,122881555.1537,122881555.1537,0.8590000000000001,0.8499,128417124.774,128417124.774,0.14300000000000002,0.066,0.0717,0.0344,0.0447,232991862.5678,229238698.0108,123816455.6962,0.0521,0.0385,29311030.7414,159783001.8083,1485216998.1917,1568075949.3671,-1170874321.8807,-41139500.0,3753164.557,149546112.1157,-6594936.7089,-102389692.5859,-60015370.7052,-11705244.123,142951175.4069,0.3227,-1.278135,2.1517754847350004,1.2879,0.393,0.2524,27.5232,1.0583,1.2879,0.393,0.2524,-0.6239,7.8797,-0.7636,0.3227,0.107,1.217,0.0867,-1.7572,1119097649.1863,494433092.2242,-1.27818,-0.0568,-0.1131,-0.6625,1.7862,Utilities,1,47.75808737779157
CEQP,3931300000.0,766000000.0,100200000.0,639500000.0,126500000.0,57500000.0,56400000.0,55100000.0,3.03,3.03,18642458.0,18201000.0,0.1948,0.12,0.047,0.014,-0.0359,469900000.0,184600000.0,-10400000.0,0.0146,0.0143,8800000.0,3893800000.0,8461400000.0,2876900000.0,2080435562.4515238,776200000.0,285300000.0,283000000.0,-424000000.0,-483000000.0,203600000.0,3600000.0,-141000000.0,0.3841,0.0727,0.46461578462193,15.5486,-7.7468,0.4835,215.9936,3.0987,15.5486,-7.7468,0.4835,42.646,260.332,42.646,0.3841,0.0374,5.1361,0.0255,-1.4862,4738300000.0,6701100000.0,0.0727,-23.2954,0.8049,1.1565,1.1225,Utilities,0,-74.83434509462005
AGR,4594000000.0,1539000000.0,821473.6,654000000.0,885000000.0,706000000.0,424000000.0,424000000.0,1.68,1.68,214978536.41236082,252235232.0,0.335,0.343,0.2066,0.092,0.0749,1578000000.0,949000000.0,424000000.0,0.1537,0.0923,482000000.0,17133000000.0,24162000000.0,11685000000.0,1182000000.0,12461000000.0,629000000.0,1331000000.0,-987000000.0,-888000000.0,-180000000.0,263000000.0,344000000.0,2.1031,0.034,0.19013326711365,5.2768,1.3638,1.9109,18.2132,1.681,5.2768,1.3638,1.9109,49.402,88.14,49.4023,2.1031,0.0293,3.1392,0.0,-1.5692,22232000000.0,23016000000.0,0.034,-3.913,0.1048,3.1441,3.563666000000012,Utilities,1,6.312320495953225
NWN,754037000.0,251565000.0,821473.6,79193000.0,172372000.0,129742000.0,58692000.0,58692000.0,2.16,2.16,27206484.0,27164000.0,0.3336,0.336,0.2312,0.078,0.1267,253498000.0,174305000.0,58692000.0,0.1721,0.0778,9534000.0,2121593000.0,3064945000.0,2297624000.0,402280000.0,767321000.0,79193000.0,215657000.0,-120092000.0,-144323000.0,-71271000.0,63000.0,95565000.0,1.8004,0.0765,0.2460197491309,7.9391,3.518,0.35100000000000003,27.7587,2.1607,7.9391,3.518,0.35100000000000003,28.248,112.831,28.2477,1.8004,0.0433,3.6744,0.0,-1.5164,3064945000.0,3515810000.0,0.0765,-4.421,0.0119,-0.0173,-0.0019,Utilities,1,5.831878359366544
NEP,359000000.0,275000000.0,821473.6,99000000.0,176000000.0,17000000.0,31000000.0,3000000.0,0.16,0.16,18690360.0,18700000.0,0.7659999999999999,0.602,0.3259,0.008,-1.4819,216000000.0,117000000.0,97000000.0,0.0474,0.0864,188000000.0,3638000000.0,4337000000.0,2704000000.0,0.0,548000000.0,99000000.0,182000000.0,-714000000.0,-931000000.0,830000000.0,79000000.0,-521140520.0000001,1.7571,0.0566,0.082776112520175,9.7326,-22.461712,10.0535,19.1979,1.6578,9.7326,-22.6175,10.0535,29.305,231.925,29.3048,1.7571,0.0047,9.1763,0.0,-7.2121,4337000000.0,5720000000.0,0.0566,-31.92555,1.1654,0.5195,1.4444,Utilities,0,-9.754107406206003
OPTT,1498892.0,0.0,9358967.0,13138865.0,-13150309.0,-12715087.0,-10969192.0,-10969192.0,-17.596000000000004,-17.740000000000002,930472.48,600368.1084259999,0.0,-7.75597,-7.428053,-7.318,-4.3528,-12322907.0,-12744743.0,-11191054.0,-8.089199999999998,-7.3182,21205315.0,317513.0,38084835.0,9984138.0,-151640503.0,28474992.0,421836.0,-6497078.0,-27268.0,-6445638.0,20427707.0,7485871.0,-6524346.0,24.7784,-0.3852,0.03935666256661,-17.687075999999998,-22.461712,167.6213619999999,24.8948,-23.44468,-17.959899999999998,-22.6175,167.6213619999999,73.34183999999996,398.1226679999993,345.6795239999999,24.7784,-0.337,0.5923,3.4073249999999655,-0.0646,37256537.0,7067084.0,-0.3852,-0.4529,-0.579278,0.2163,0.1942,Utilities,0,-67.69230769230771
SPKE,322876000.0,322876000.0,45880000.0,68101000.0,254775000.0,-945000.0,-54000.0,-54000.0,-0.01,-0.01,27500000.0,6000000.0,1.0,0.071,0.002,0.0,0.0088,22854000.0,633000.0,-4265000.0,-0.0029,-0.0002,15635000.0,4221000.0,138397000.0,114280000.0,-775000.0,8659000.0,22221000.0,5874000.0,-3040000.0,-3040000.0,-5664000.0,-2830000.0,2834000.0,0.6,-0.0062,2.3329696452958,0.979,0.472,2.6058,53.8127,-0.009000000000000001,0.979,0.472,2.6058,1.443,22.816,1.4432,0.6,-0.0014,-6.915212,0.1421,-0.1368,136896000.0,61445000.0,-0.0062,-0.5067,0.0182,-0.9809,-0.0417,Utilities,1,61.73990099674811
IDA,1282524000.0,428105000.0,821473.6,160141000.0,267964000.0,210252000.0,193480000.0,193480000.0,3.86,3.85,50268748.0,50131000.0,0.3338,0.34,0.2328,0.151,0.0704,435605000.0,298517000.0,193754000.0,0.1639,0.1509,56808000.0,3833477000.0,5701037000.0,3743472000.0,1132237000.0,1953201000.0,137088000.0,364343000.0,-274094000.0,-272420000.0,-113277000.0,-21354000.0,90249000.0,2.5943,0.0991,0.22496328299571,7.2678,1.8,1.1332,25.5835,3.8595,7.2678,1.8,1.1332,38.962,113.723,38.9619,2.5943,0.0583,1.8831,0.0,-1.9994,5701037000.0,7033434000.0,0.0991,-5.4676,-0.0916,-0.1305,-0.124,Utilities,1,5.670479541208553
AQN,810339070.5680001,246721170.3959,29855421.6867,137106712.5645,109614457.8313,79611015.4905,65147160.0688,56969018.9329,0.2668,0.2668,177580882.0998,177580882.0998,0.3045,0.247,0.1645,0.0602,-0.2263,232637693.6317,133327022.3752,46054216.8675,0.0982,0.0804,7980206.5404,2821361445.7831,3530850258.1756,1950481927.7108,-434858003.4423,1307698795.1807,99310671.2565,165848537.0052,-349258175.5594,-390075731.4974,219741824.4406,-3929432.0138,-183409638.5542,1.8145,0.0498,0.22950253092486,1.0852,-1.033,0.0522,5.3024,0.4263,1.0852,-1.033,0.0522,6.3373,16.5009,8.5568,1.8145,0.0322,2.9112,0.0368,-3.5168,3404913080.895,4196623924.2685,0.0498,-2.2853,0.1774,0.7117,0.1602,Utilities,1,0.3351626424861417
ALE,1136800000.0,324500000.0,821473.6,135700000.0,188800000.0,161500000.0,124800000.0,124800000.0,2.91,2.9,44499229.0,42900000.0,0.2855,0.31,0.1903,0.11,-0.2891,352000000.0,216300000.0,125500000.0,0.1421,0.1098,145800000.0,3284800000.0,4360800000.0,2749600000.0,530100000.0,1609400000.0,135700000.0,269800000.0,-598500000.0,-625700000.0,404400000.0,48500000.0,-328700000.0,2.1584,0.0775,0.26068611263988,6.289,-7.662000000000001,3.3986,26.4988,2.9091,6.289,-7.662000000000001,3.3986,37.515,101.538,37.5152,2.1584,0.0528,2.1619,0.0,-4.4105,4356000000.0,5171400000.0,0.0775,-13.951,0.1987,0.1775,0.2252,Utilities,0,-4.613914591685474
ORA,559524000.0,203751000.0,44039000.0,60261000.0,143490000.0,81790000.0,54182000.0,54182000.0,1.19,1.18,45530627.0,45508000.0,0.3642,0.478,0.2975,0.097,0.111,267242000.0,166444000.0,54182000.0,0.1462,0.0968,133478000.0,1734359000.0,2121556000.0,1334810000.0,41539000.0,774923000.0,100798000.0,213235000.0,-151153000.0,-129162000.0,-101197000.0,-17124000.0,62082000.0,2.2117,0.0699,0.26373284513819,4.6857,1.364,2.9331,12.2951,1.1906,4.6857,1.364,2.9331,17.028,45.99,17.0283,2.2117,0.0438,3.9355,0.0787,-1.4996,2092901000.0,2755080000.0,0.0699,-3.3215,0.2749,0.2946,0.4799,Utilities,1,33.913552456987794
OTTR,799262000.0,157605000.0,821473.6,58074000.0,99531000.0,74280000.0,57723000.0,57723000.0,1.58,1.57,36806160.0,36514000.0,0.1972,0.203,0.13,0.07200000000000001,-0.0639,162002000.0,103928000.0,57723000.0,0.0929,0.0722,609699.9999999998,1268530000.0,1740699000.0,1167933000.0,112903000.0,572766000.0,58074000.0,112474000.0,-163582000.0,-164496000.0,50864000.0,-2007000.0,-51108000.0,1.4257,0.1008,0.4591615207454001,3.0803,-1.4,0.042932,21.8892,1.5808,3.0803,-1.4,0.042932,15.686,46.502,15.6862,1.4257,0.051,1.9485,0.0,-2.8168,1697960000.0,2006903000.0,0.1008,-4.48,0.0361,0.1502,0.0562,Utilities,0,-10.242674851227193
CPL,6533682313.1806,1553757040.9313,441730379.2715,564899737.1386,988857303.7927,590701088.9974,356431468.2689,356431468.2689,0.6985,0.691,382247028.5392,382247028.5392,0.2378,0.1014,0.2035,0.0207,0.1801,1765491550.8825,1329906120.9163,332873826.5115,0.0904,0.0546,1636295531.3556,3435781449.4931,13197309800.9763,9668459256.4777,332453999.249,2607410814.8704,435585429.9662,1306125797.9722,-129571535.8618,-350359369.1326,-190962448.3665,56715358.6181,1176554262.1104,0.7745,0.1367,0.49507683093847,18.1947,3.23,22.7941,91.0161,4.9652,18.1947,3.23,22.7941,5.1232,19.341,36.322,0.7745,0.0528,3.6645,0.0676,-0.2975,9843884716.4852,12443978595.5689,0.1367,-1.805,-0.0737,-0.0121,-0.0148,Utilities,0,-44.08440067751783
BIP,1924000000.0,1078000000.0,115000000.0,495000000.0,583000000.0,224000000.0,145000000.0,101000000.0,0.45,0.45,225378261.0,225378261.0,0.5603,0.502,0.3046,0.052000000000000005,0.131,966000000.0,586000000.0,229000000.0,0.1164,0.0754,189000000.0,8084000000.0,16495000000.0,10173000000.0,260000000.0,3557000000.0,380000000.0,691000000.0,-439000000.0,-1073000000.0,42000000.0,-340000000.0,252000000.0,3.2698,0.0408,0.11664140648681,3.0660000000000003,1.118,0.8386,8.5368,0.6434,3.0660000000000003,1.118,0.8386,15.782,56.953,15.7824,3.2698,0.0161,6.8416,0.0598,-1.1553,12836000000.0,19238000000.0,0.0408,-1.9478,0.0748,0.7651,0.0337,Utilities,0,-3.7247168753142432
SJW,319668000.0,171356000.0,40573000.0,78478000.0,92878000.0,76777000.0,51806000.0,51806000.0,2.56,2.54,20238134.0,20227297.0,0.536,0.429,0.3052,0.162,-0.1175,137056000.0,97565000.0,51806000.0,0.2402,0.1621,2399000.0,1025215000.0,1269304000.0,909149000.0,280773000.0,360155000.0,39491000.0,65911000.0,-103487000.0,-97640000.0,31829000.0,100000.0,-37576000.0,2.0335,0.1438,0.25184510566421,3.2585,-1.858,0.1186,15.8038,2.5612,3.2585,-1.858,0.1186,17.805,62.752,17.8054,2.0335,0.0797,1.2723,0.1269,-2.6205,1269304000.0,1620360000.0,0.1438,-5.1162,0.2966,0.7286,0.7391,Utilities,0,-4.7976942875719
CORR,40308573.0,31716823.0,7872753.0,21068008.0,10648815.0,6788293.0,7013856.0,7013856.0,1.06,1.06,6328975.0,6605715.0,0.7869,0.614,0.2596,0.174,0.4207,24752432.0,10463415.0,8570013.0,0.1684,0.174,7578164.0,391348067.0,443815842.0,106274800.0,0.0,310450347.0,14289017.0,16968553.0,-11970.0,-177075793.0,149722138.0,-10385102.0,16956583.0,5.0872,0.0226,0.090822744898773,2.5688,2.567,1.1472,6.1021,1.0618,2.5688,2.567,1.1472,46.997,66.263,46.9972,5.0872,0.0327,2.4193,0.1953,-0.0008,437711999.0,529335112.0,0.0226,-0.0018,0.2919,-0.0258,0.7023,Utilities,0,-54.81055428612434
UTL,425800000.0,119300000.0,821473.6,59300000.0,60000000.0,38700000.0,24700000.0,24700000.0,1.79,1.79,13907610.0,13800000.0,0.2802,0.239,0.14,0.058,-0.0202,101700000.0,59600000.0,24700000.0,0.0909,0.058,8400000.0,733700000.0,1000200000.0,726900000.0,38400000.0,273100000.0,42100000.0,84000000.0,-92600000.0,-92600000.0,7600000.0,-1000000.0,-8600000.0,1.1977,0.0904,0.42571485702859,6.0870000000000015,-0.623,0.6087,30.8551,1.7899,6.0870000000000015,-0.623,0.6087,19.79,72.47800000000002,19.7899,1.1977,0.0488,3.4008,0.0,-2.1995,1000200000.0,1232600000.0,0.0904,-6.7101,0.115,0.1224,0.1215,Utilities,1,2.312856217881385
